model,nS,nE,D,invD,alpha,abs_alpha
pswap,1,4,32,0.03125,0.629727488858359,0.629727488858359
pswap,2,3,32,0.03125,0.4929936198924549,0.4929936198924549
pswap,3,2,32,0.03125,0.3512676808767374,0.3512676808767374
pswap,4,1,32,0.03125,0.42966646276801423,0.42966646276801423
pswap,1,5,64,0.015625,0.6952110956003857,0.6952110956003857
pswap,2,4,64,0.015625,0.6154291751161624,0.6154291751161624
pswap,3,3,64,0.015625,0.501402508706715,0.501402508706715
pswap,4,2,64,0.015625,0.2759933978239531,0.2759933978239531
pswap,5,1,64,0.015625,0.4338278545407839,0.4338278545407839
pswap,1,6,128,0.0078125,0.7167808883486725,0.7167808883486725
pswap,2,5,128,0.0078125,0.6421024818806474,0.6421024818806474
pswap,3,4,128,0.0078125,0.6126197692297585,0.6126197692297585
pswap,4,3,128,0.0078125,0.4629049230342069,0.4629049230342069
pswap,5,2,128,0.0078125,0.15817498879949174,0.15817498879949174
pswap,6,1,128,0.0078125,0.4322812848928835,0.4322812848928835
pswap,1,7,256,0.00390625,0.7335311727192951,0.7335311727192951
pswap,2,6,256,0.00390625,0.631120155650362,0.631120155650362
pswap,3,5,256,0.00390625,0.6551859535774374,0.6551859535774374
pswap,4,4,256,0.00390625,0.631114487699331,0.631114487699331
pswap,5,3,256,0.00390625,0.3341580197026887,0.3341580197026887
pswap,6,2,256,0.00390625,-0.018020101382845374,0.018020101382845374
pswap,7,1,256,0.00390625,0.4319618065722664,0.4319618065722664
pswap,1,8,512,0.001953125,0.7417698457902532,0.7417698457902532
pswap,2,7,512,0.001953125,0.6224135324762938,0.6224135324762938
pswap,3,6,512,0.001953125,0.6429526198958732,0.6429526198958732
pswap,4,5,512,0.001953125,0.6777399279926404,0.6777399279926404
pswap,5,4,512,0.001953125,0.56348684358196,0.56348684358196
pswap,6,3,512,0.001953125,0.1581319073861845,0.1581319073861845
pswap,7,2,512,0.001953125,-0.1156963019955314,0.1156963019955314
pswap,8,1,512,0.001953125,0.4327583938697272,0.4327583938697272
dephasing,1,3,16,0.0625,0.6660251691927053,0.6660251691927053
dephasing,2,2,16,0.0625,0.39953916210793716,0.39953916210793716
dephasing,3,1,16,0.0625,-0.1193219313043026,0.1193219313043026
dephasing,1,4,32,0.03125,0.7055161198181831,0.7055161198181831
dephasing,2,3,32,0.03125,0.5827741983969144,0.5827741983969144
dephasing,3,2,32,0.03125,0.14991399109968945,0.14991399109968945
dephasing,4,1,32,0.03125,-0.14828493185191757,0.14828493185191757
dephasing,1,5,64,0.015625,0.7138233157575984,0.7138233157575984
dephasing,2,4,64,0.015625,0.651198611249267,0.651198611249267
dephasing,3,3,64,0.015625,0.4036698581729421,0.4036698581729421
dephasing,4,2,64,0.015625,0.0418579919874353,0.0418579919874353
dephasing,5,1,64,0.015625,-0.1648439006286009,0.1648439006286009
dephasing,1,6,128,0.0078125,0.7172548230306489,0.7172548230306489
dephasing,2,5,128,0.0078125,0.6606731637260989,0.6606731637260989
dephasing,3,4,128,0.0078125,0.5292104689358319,0.5292104689358319
dephasing,4,3,128,0.0078125,0.24256762853331182,0.24256762853331182
dephasing,5,2,128,0.0078125,0.028506477947621428,0.028506477947621428
dephasing,6,1,128,0.0078125,-0.17067219445231901,0.17067219445231901
dephasing,1,7,256,0.00390625,0.7179681406785802,0.7179681406785802
dephasing,2,6,256,0.00390625,0.64996956735366,0.64996956735366
dephasing,3,5,256,0.00390625,0.5632854740166139,0.5632854740166139
dephasing,4,4,256,0.00390625,0.39355721982664865,0.39355721982664865
dephasing,5,3,256,0.00390625,0.17833656301363246,0.17833656301363246
dephasing,6,2,256,0.00390625,0.025006323817806323,0.025006323817806323
dephasing,7,1,256,0.00390625,-0.15572525633981849,0.15572525633981849
dephasing,1,8,512,0.001953125,0.7130939918278228,0.7130939918278228
dephasing,2,7,512,0.001953125,0.6511975906619976,0.6511975906619976
dephasing,3,6,512,0.001953125,0.5725265604682549,0.5725265604682549
dephasing,4,5,512,0.001953125,0.4955861270903803,0.4955861270903803
dephasing,5,4,512,0.001953125,0.2961907324631425,0.2961907324631425
dephasing,6,3,512,0.001953125,0.15298685546527835,0.15298685546527835
dephasing,7,2,512,0.001953125,0.011428066540229959,0.011428066540229959
dephasing,8,1,512,0.001953125,-0.15978533419314617,0.15978533419314617
