kind,model,dim,param,seed_tag,n,alpha,intercept,alpha_lo,alpha_hi,R2,kendall_tau,spearman_rho,slope_theil_sen,grid_label,size_label
unitary,random2body,d=2,kappa=0.40,0xcfe1dfa7,600,0.05684562323025275,-0.575836914501669,0.0025912652130431427,0.12205057687276749,0.007478346794607682,0.11934335002782415,0.1713137536493157,0.12174952254331782,kappa=0.40,"nS=1,nE=1"
unitary,random2body,d=2,kappa=0.60,0xd3c3cf19,600,-0.39901593383981343,-0.6623946052658688,-0.4511419902460907,-0.3414847517746002,0.32033858551850947,-0.4519421257651641,-0.5990759974333262,-0.4150926196048115,kappa=0.60,"nS=1,nE=1"
unitary,random2body,d=2,kappa=0.80,0x251cc3cc,600,-0.39834775491512414,-0.6690655253119028,-0.4497822161277546,-0.34078397472296423,0.33257448924287103,-0.4446076794657763,-0.6050004583346065,-0.40458758222092217,kappa=0.80,"nS=1,nE=1"
unitary,random2body,d=2,kappa=0.40,0x07c9b08f,600,0.18892405237129473,-0.47000447677239404,0.08300772520033455,0.29077712803727507,0.04710649637907527,-0.00783528102392877,-0.0021995061097391934,-0.0116249242222938,kappa=0.40,"nS=1,nE=2"
unitary,random2body,d=2,kappa=0.60,0x7f492456,600,0.013298499622573462,-0.5237081154063858,-0.10730073993443232,0.1454467158651269,0.00020518137497060884,-0.04972732331663884,-0.07308820302278617,-0.07961521505563665,kappa=0.60,"nS=1,nE=2"
unitary,random2body,d=2,kappa=0.80,0x416ba227,600,0.5249218690436944,-0.5120937991004818,0.42607457642029606,0.6199052889599922,0.2333774819881722,0.3240066777963272,0.44122450340139824,0.6254622683127387,kappa=0.80,"nS=1,nE=2"
unitary,random2body,d=2,kappa=0.40,0x1664fa24,600,-0.017393715471829545,-0.33746921474310393,-0.07720284682679619,0.04579730725010791,0.0006595949631645892,-0.011686143572621033,-0.0189626082294673,-0.01305207878772317,kappa=0.40,"nS=2,nE=1"
unitary,random2body,d=2,kappa=0.60,0x24962e63,600,-0.07850889658932475,-0.24809195905714987,-0.13240162967813354,-0.022543828612883832,0.01517596545283828,-0.09117417918753477,-0.13505931960922113,-0.08522685394766111,kappa=0.60,"nS=2,nE=1"
unitary,random2body,d=2,kappa=0.80,0xdaf2c807,600,0.10373185047437207,-0.32699257033685397,0.030477895911799256,0.1793898844108788,0.015735621039195125,0.08028937117417918,0.11956394323317564,0.11068666573542035,kappa=0.80,"nS=2,nE=1"
unitary,random2body,d=2,kappa=0.40,0x9332451d,600,0.4209762193242409,-0.5014036394255987,0.3000592395564634,0.5637185566720502,0.11422769150254186,0.18996104618809123,0.2809489470804085,0.4630837537715061,kappa=0.40,"nS=1,nE=3"
unitary,random2body,d=2,kappa=0.60,0x9d2a487a,600,0.10839571976097583,-0.522921603835714,-0.036573619713302606,0.2578648574520911,0.0072955195258962435,0.04548692264885921,0.06668818524495901,0.120382850245842,kappa=0.60,"nS=1,nE=3"
unitary,random2body,d=2,kappa=0.80,0x6bbcda4f,600,0.8312057807469663,-0.556340214447382,0.7452929137266912,0.9092424185353318,0.5724054429515406,0.5805453533667223,0.7482993008313911,0.9479888217916996,kappa=0.80,"nS=1,nE=3"
unitary,random2body,d=2,kappa=0.40,0x7c5299be,600,0.4984479631275926,-0.5514954387817232,0.3922216405102721,0.6037840270875523,0.23894436547447706,0.3386087924318308,0.47671710199194994,0.5758358739466658,kappa=0.40,"nS=2,nE=2"
unitary,random2body,d=2,kappa=0.60,0x00519a83,600,0.13157820472529488,-0.4070018989607646,0.03552547216942989,0.22504304876965425,0.019811099730556392,0.04321647189760712,0.0595435542876508,0.06574687384715294,kappa=0.60,"nS=2,nE=2"
unitary,random2body,d=2,kappa=0.80,0x4d46f2bb,600,0.3081923272271346,-0.46592770354307966,0.2170012498919805,0.3975937519891383,0.08315528453655718,0.18553144129104063,0.2750496529157025,0.31190681497917805,kappa=0.80,"nS=2,nE=2"
unitary,random2body,d=2,kappa=0.40,0xfd30f41c,600,0.19169212281389514,-0.3183410762498199,0.0925105496078252,0.29254653897552807,0.04433701762031639,0.1115748469671675,0.1633458426273406,0.17185984894776907,kappa=0.40,"nS=3,nE=1"
unitary,random2body,d=2,kappa=0.60,0xc47409c2,600,0.15471744347335903,-0.13434809195607725,0.09042359882140528,0.2184867374893433,0.0422534922242781,0.129449081803005,0.1914823096730824,0.1514068208367949,kappa=0.60,"nS=3,nE=1"
unitary,random2body,d=2,kappa=0.80,0x9bb45492,600,0.20228965112122416,-0.25263646143608703,0.13187189063824772,0.27884767389425474,0.0528002896775831,0.12223706176961602,0.181693838038439,0.1817700401073941,kappa=0.80,"nS=3,nE=1"
